"tick","Total","Ave TSM"
1.1,660,0.6996
2.1,660,0.6992
3.1,660,0.698801
4.1,651,0.698402
5.1,652,0.698004
6.1,652,0.697606
7.1,652,0.697208
8.1,495,0.696811
9.1,496,0.696414
10.1,496,0.696018
11.1,496,0.695622
12.1,434,0.695226
13.1,434,0.694831
14.1,434,0.694436
15.1,434,0.694042
16.1,435,0.693648
17.1,343,0.693254
18.1,343,0.692861
19.1,343,0.692468
20.1,344,0.692076
21.1,284,0.691683
22.1,284,0.691292
23.1,285,0.690901
24.1,286,0.69051
25.1,286,0.690119
26.1,256,0.689729
27.1,256,0.689339
28.1,256,0.68895
29.1,256,0.688561
30.1,258,0.688172
31.1,258,0.687784
32.1,258,0.687396
33.1,258,0.687009
34.1,310,0.686622
35.1,311,0.686235
36.1,311,0.685849
37.1,311,0.685463
38.1,311,0.685078
39.1,403,0.684693
40.1,404,0.684308
41.1,404,0.683924
42.1,404,0.68354
43.1,552,0.683156
44.1,552,0.682773
45.1,552,0.68239
46.1,553,0.682008
47.1,660,0.681626
48.1,660,0.681244
49.1,660,0.680863
50.1,661,0.680482
51.1,661,0.680102
52.1,680,0.679722
53.1,680,0.679342
54.1,680,0.678963
55.1,680,0.678584
56.1,668,0.678205
57.1,668,0.677827
58.1,668,0.677449
59.1,669,0.677072
60.1,522,0.676695
61.1,523,0.676318
62.1,523,0.675942
63.1,524,0.675566
64.1,451,0.67519
65.1,452,0.674815
66.1,452,0.67444
67.1,453,0.674066
68.1,454,0.673692
69.1,359,0.673318
70.1,359,0.672944
71.1,359,0.672572
72.1,360,0.672199
73.1,301,0.671827
74.1,302,0.671455
75.1,305,0.671084
76.1,305,0.670712
77.1,305,0.670342
78.1,270,0.669971
79.1,270,0.669601
80.1,270,0.669232
81.1,270,0.668863
82.1,273,0.668494
83.1,274,0.668125
84.1,274,0.667757
85.1,274,0.667389
86.1,332,0.667022
87.1,333,0.666655
88.1,334,0.666288
89.1,336,0.665922
90.1,336,0.665556
91.1,420,0.665191
92.1,420,0.664825
93.1,421,0.66446
94.1,421,0.664096
95.1,571,0.663732
96.1,572,0.663368
97.1,572,0.663005
98.1,573,0.662642
99.1,684,0.662279
100.1,684,0.661917
101.1,684,0.661555
102.1,684,0.661193
103.1,684,0.660832
104.1,703,0.660471
105.1,703,0.660111
106.1,703,0.659751
107.1,704,0.659391
108.1,693,0.659032
109.1,694,0.658673
110.1,695,0.658314
111.1,695,0.657955
112.1,546,0.657598
113.1,547,0.65724
114.1,549,0.656883
115.1,550,0.656526
116.1,473,0.656169
117.1,475,0.655813
118.1,475,0.655457
119.1,476,0.655102
120.1,476,0.654747
121.1,378,0.654392
122.1,378,0.654038
123.1,379,0.653683
124.1,379,0.65333
125.1,329,0.652976
126.1,329,0.652623
127.1,330,0.652271
128.1,330,0.651919
129.1,330,0.651567
130.1,289,0.651215
131.1,289,0.650864
132.1,289,0.650513
133.1,290,0.650163
134.1,292,0.649812
135.1,292,0.649463
136.1,293,0.649113
137.1,293,0.648764
138.1,353,0.648415
139.1,353,0.648067
140.1,353,0.647719
141.1,353,0.647371
142.1,353,0.647024
143.1,435,0.646677
144.1,436,0.64633
145.1,437,0.645984
146.1,437,0.645638
147.1,593,0.645292
148.1,593,0.644947
149.1,593,0.644602
150.1,593,0.644257
151.1,708,0.643913
152.1,709,0.643569
153.1,709,0.643225
154.1,709,0.642882
155.1,709,0.642539
156.1,728,0.642197
157.1,728,0.641855
158.1,728,0.641513
159.1,728,0.641171
160.1,715,0.64083
161.1,717,0.640489
162.1,717,0.640149
163.1,717,0.639809
164.1,569,0.639469
165.1,570,0.639129
166.1,570,0.63879
167.1,571,0.638451
168.1,495,0.638113
169.1,495,0.637775
170.1,496,0.637437
171.1,496,0.6371
172.1,496,0.636762
173.1,397,0.636426
174.1,399,0.636089
175.1,399,0.635753
176.1,400,0.635417
177.1,346,0.635082
178.1,346,0.634747
179.1,346,0.634412
180.1,346,0.634078
181.1,346,0.633744
182.1,311,0.63341
183.1,311,0.633077
184.1,311,0.632743
185.1,311,0.632411
186.1,315,0.632078
187.1,316,0.631746
188.1,316,0.631414
189.1,316,0.631083
190.1,371,0.630752
191.1,372,0.630421
192.1,372,0.630091
193.1,372,0.629761
194.1,372,0.629431
195.1,460,0.629102
196.1,460,0.628772
197.1,461,0.628444
198.1,462,0.628115
199.1,611,0.627787
200.1,612,0.627459
201.1,612,0.627132
202.1,612,0.626805
203.1,735,0.626478
204.1,737,0.626152
205.1,737,0.625825
206.1,737,0.6255
207.1,737,0.625174
208.1,755,0.624849
209.1,756,0.624524
210.1,757,0.624199
211.1,757,0.623875
212.1,744,0.623551
213.1,745,0.623228
214.1,746,0.622905
215.1,746,0.622582
216.1,593,0.622259
217.1,593,0.621937
218.1,593,0.621615
219.1,593,0.621293
220.1,526,0.620972
221.1,526,0.620651
222.1,526,0.62033
223.1,526,0.62001
224.1,526,0.61969
225.1,416,0.61937
226.1,416,0.619051
227.1,416,0.618732
228.1,417,0.618413
229.1,367,0.618095
230.1,368,0.617777
231.1,368,0.617459
232.1,368,0.617141
233.1,368,0.616824
234.1,339,0.616508
235.1,339,0.616191
236.1,339,0.615875
237.1,339,0.615559
238.1,343,0.615243
239.1,343,0.614928
240.1,343,0.614613
241.1,343,0.614299
242.1,393,0.613984
243.1,393,0.61367
244.1,393,0.613357
245.1,393,0.613043
246.1,394,0.61273
247.1,483,0.612417
248.1,484,0.612105
249.1,484,0.611793
250.1,484,0.611481
251.1,632,0.61117
252.1,632,0.610859
253.1,632,0.610548
254.1,633,0.610237
255.1,758,0.609927
256.1,758,0.609617
257.1,760,0.609307
258.1,760,0.608998
259.1,760,0.608689
260.1,771,0.60838
261.1,772,0.608072
262.1,773,0.607764
263.1,773,0.607456
264.1,767,0.607149
265.1,767,0.606842
266.1,767,0.606535
267.1,767,0.606228
268.1,612,0.605922
269.1,612,0.605616
270.1,612,0.60531
271.1,613,0.605005
272.1,554,0.6047
273.1,554,0.604395
274.1,554,0.604091
275.1,554,0.603787
276.1,554,0.603483
277.1,435,0.60318
278.1,435,0.602876
279.1,435,0.602573
280.1,435,0.602271
281.1,390,0.601969
282.1,390,0.601667
283.1,391,0.601365
284.1,392,0.601064
285.1,392,0.600763
286.1,356,0.600462
287.1,356,0.600161
288.1,356,0.599861
289.1,357,0.599561
290.1,362,0.599262
291.1,362,0.598962
292.1,363,0.598664
293.1,364,0.598365
294.1,411,0.598066
295.1,412,0.597768
296.1,412,0.597471
297.1,412,0.597173
298.1,412,0.596876
299.1,510,0.596579
300.1,510,0.596282
301.1,510,0.595986
302.1,510,0.59569
303.1,657,0.595394
304.1,658,0.595099
305.1,658,0.594804
306.1,658,0.594509
307.1,778,0.594215
308.1,778,0.59392
309.1,778,0.593626
310.1,778,0.593333
311.1,778,0.59304
312.1,789,0.592747
313.1,789,0.592454
314.1,789,0.592161
315.1,789,0.591869
316.1,785,0.591577
317.1,785,0.591286
318.1,785,0.590994
319.1,785,0.590703
320.1,632,0.590413
321.1,633,0.590122
322.1,634,0.589832
323.1,634,0.589542
324.1,579,0.589253
325.1,580,0.588964
326.1,580,0.588675
327.1,580,0.588386
328.1,581,0.588098
329.1,458,0.58781
330.1,458,0.587522
331.1,460,0.587234
332.1,460,0.586947
333.1,406,0.58666
334.1,406,0.586373
335.1,406,0.586087
336.1,408,0.585801
337.1,408,0.585515
338.1,378,0.58523
339.1,379,0.584944
340.1,379,0.584659
341.1,379,0.584375
342.1,384,0.58409
343.1,384,0.583806
344.1,384,0.583522
345.1,384,0.583239
346.1,428,0.582956
347.1,429,0.582673
348.1,431,0.58239
