"tick","Total","Ave TSM"
1.1,778,0.6996
2.1,778,0.6992
3.1,778,0.698801
4.1,759,0.698402
5.1,759,0.698004
6.1,759,0.697606
7.1,759,0.697208
8.1,407,0.696811
9.1,407,0.696414
10.1,407,0.696018
11.1,407,0.695622
12.1,302,0.695226
13.1,302,0.694831
14.1,303,0.694436
15.1,303,0.694042
16.1,303,0.693648
17.1,162,0.693254
18.1,162,0.692861
19.1,163,0.692468
20.1,163,0.692076
21.1,122,0.691683
22.1,123,0.691292
23.1,123,0.690901
24.1,123,0.69051
25.1,123,0.690119
26.1,110,0.689729
27.1,110,0.689339
28.1,111,0.68895
29.1,111,0.688561
30.1,111,0.688172
31.1,111,0.687784
32.1,111,0.687396
33.1,111,0.687009
34.1,138,0.686622
35.1,138,0.686235
36.1,139,0.685849
37.1,139,0.685463
38.1,139,0.685078
39.1,234,0.684693
40.1,234,0.684308
41.1,235,0.683924
42.1,235,0.68354
43.1,478,0.683156
44.1,478,0.682773
45.1,478,0.68239
46.1,478,0.682008
47.1,759,0.681626
48.1,759,0.681244
49.1,759,0.680863
50.1,759,0.680482
51.1,759,0.680102
52.1,778,0.679722
53.1,779,0.679342
54.1,779,0.678963
55.1,779,0.678584
56.1,765,0.678205
57.1,765,0.677827
58.1,765,0.677449
59.1,765,0.677072
60.1,420,0.676695
61.1,420,0.676318
62.1,420,0.675942
63.1,420,0.675566
64.1,314,0.67519
65.1,314,0.674815
66.1,314,0.67444
67.1,314,0.674066
68.1,314,0.673692
69.1,165,0.673318
70.1,166,0.672944
71.1,168,0.672572
72.1,168,0.672199
73.1,130,0.671827
74.1,130,0.671455
75.1,130,0.671084
76.1,131,0.670712
77.1,131,0.670342
78.1,116,0.669971
79.1,116,0.669601
80.1,116,0.669232
81.1,116,0.668863
82.1,118,0.668494
83.1,118,0.668125
84.1,118,0.667757
85.1,118,0.667389
86.1,145,0.667022
87.1,145,0.666655
88.1,146,0.666288
89.1,146,0.665922
90.1,146,0.665556
91.1,247,0.665191
92.1,247,0.664825
93.1,247,0.66446
94.1,247,0.664096
95.1,491,0.663732
96.1,491,0.663368
97.1,491,0.663005
98.1,491,0.662642
99.1,765,0.662279
100.1,766,0.661917
101.1,767,0.661555
102.1,768,0.661193
103.1,768,0.660832
104.1,783,0.660471
105.1,783,0.660111
106.1,783,0.659751
107.1,783,0.659391
108.1,778,0.659032
109.1,778,0.658673
110.1,778,0.658314
111.1,778,0.657955
112.1,435,0.657598
113.1,435,0.65724
114.1,435,0.656883
115.1,436,0.656526
116.1,326,0.656169
117.1,327,0.655813
118.1,327,0.655457
119.1,327,0.655102
120.1,327,0.654747
121.1,176,0.654392
122.1,177,0.654038
123.1,177,0.653683
124.1,177,0.65333
125.1,138,0.652976
126.1,138,0.652623
127.1,138,0.652271
128.1,138,0.651919
129.1,139,0.651567
130.1,123,0.651215
131.1,123,0.650864
132.1,123,0.650513
133.1,123,0.650163
134.1,125,0.649812
135.1,127,0.649463
136.1,127,0.649113
137.1,128,0.648764
138.1,153,0.648415
139.1,153,0.648067
140.1,153,0.647719
141.1,153,0.647371
142.1,153,0.647024
143.1,256,0.646677
144.1,257,0.64633
145.1,257,0.645984
146.1,259,0.645638
147.1,515,0.645292
148.1,515,0.644947
149.1,516,0.644602
150.1,517,0.644257
151.1,778,0.643913
152.1,778,0.643569
153.1,778,0.643225
154.1,778,0.642882
155.1,778,0.642539
156.1,785,0.642197
157.1,785,0.641855
158.1,785,0.641513
159.1,785,0.641171
160.1,780,0.64083
161.1,780,0.640489
162.1,780,0.640149
163.1,781,0.639809
164.1,454,0.639469
165.1,455,0.639129
166.1,455,0.63879
167.1,456,0.638451
168.1,339,0.638113
169.1,339,0.637775
170.1,339,0.637437
171.1,339,0.6371
172.1,341,0.636762
173.1,188,0.636426
174.1,188,0.636089
175.1,189,0.635753
176.1,189,0.635417
177.1,147,0.635082
178.1,147,0.634747
179.1,147,0.634412
180.1,149,0.634078
181.1,149,0.633744
182.1,132,0.63341
183.1,133,0.633077
184.1,133,0.632743
185.1,134,0.632411
186.1,135,0.632078
187.1,135,0.631746
188.1,135,0.631414
189.1,135,0.631083
190.1,163,0.630752
191.1,163,0.630421
192.1,163,0.630091
193.1,163,0.629761
194.1,163,0.629431
195.1,275,0.629102
196.1,276,0.628772
197.1,276,0.628444
198.1,276,0.628115
199.1,548,0.627787
200.1,549,0.627459
201.1,549,0.627132
202.1,549,0.626805
203.1,784,0.626478
204.1,784,0.626152
205.1,785,0.625825
206.1,785,0.6255
207.1,785,0.625174
208.1,786,0.624849
209.1,786,0.624524
210.1,786,0.624199
211.1,786,0.623875
212.1,785,0.623551
213.1,785,0.623228
214.1,785,0.622905
215.1,785,0.622582
216.1,478,0.622259
217.1,478,0.621937
218.1,479,0.621615
219.1,480,0.621293
220.1,353,0.620972
221.1,353,0.620651
222.1,353,0.62033
223.1,354,0.62001
224.1,355,0.61969
225.1,203,0.61937
226.1,203,0.619051
227.1,204,0.618732
228.1,204,0.618413
229.1,159,0.618095
230.1,159,0.617777
231.1,159,0.617459
232.1,160,0.617141
233.1,160,0.616824
234.1,145,0.616508
235.1,145,0.616191
236.1,145,0.615875
237.1,146,0.615559
238.1,146,0.615243
239.1,147,0.614928
240.1,147,0.614613
241.1,147,0.614299
242.1,173,0.613984
243.1,173,0.61367
244.1,173,0.613357
245.1,174,0.613043
246.1,174,0.61273
247.1,300,0.612417
248.1,300,0.612105
249.1,301,0.611793
250.1,302,0.611481
251.1,580,0.61117
252.1,580,0.610859
253.1,582,0.610548
254.1,584,0.610237
255.1,785,0.609927
256.1,785,0.609617
257.1,785,0.609307
258.1,785,0.608998
259.1,785,0.608689
260.1,787,0.60838
261.1,787,0.608072
262.1,787,0.607764
263.1,787,0.607456
264.1,786,0.607149
265.1,786,0.606842
266.1,786,0.606535
267.1,786,0.606228
268.1,498,0.605922
269.1,499,0.605616
270.1,500,0.60531
271.1,500,0.605005
272.1,377,0.6047
273.1,377,0.604395
274.1,377,0.604091
275.1,377,0.603787
276.1,377,0.603483
277.1,226,0.60318
278.1,228,0.602876
279.1,228,0.602573
280.1,228,0.602271
281.1,170,0.601969
282.1,171,0.601667
283.1,171,0.601365
284.1,171,0.601064
285.1,171,0.600763
286.1,156,0.600462
287.1,157,0.600161
288.1,157,0.599861
289.1,157,0.599561
290.1,159,0.599262
291.1,159,0.598962
292.1,160,0.598664
293.1,160,0.598365
294.1,190,0.598066
295.1,190,0.597768
296.1,190,0.597471
297.1,191,0.597173
298.1,191,0.596876
299.1,323,0.596579
300.1,325,0.596282
301.1,325,0.595986
302.1,325,0.59569
303.1,638,0.595394
304.1,638,0.595099
305.1,638,0.594804
306.1,638,0.594509
307.1,787,0.594215
308.1,787,0.59392
309.1,787,0.593626
310.1,787,0.593333
311.1,787,0.59304
312.1,788,0.592747
313.1,788,0.592454
314.1,788,0.592161
315.1,788,0.591869
316.1,787,0.591577
317.1,787,0.591286
318.1,787,0.590994
319.1,787,0.590703
320.1,539,0.590413
321.1,542,0.590122
322.1,543,0.589832
323.1,544,0.589542
324.1,401,0.589253
325.1,401,0.588964
326.1,402,0.588675
327.1,406,0.588386
328.1,407,0.588098
329.1,247,0.58781
330.1,247,0.587522
331.1,247,0.587234
332.1,247,0.586947
333.1,183,0.58666
334.1,183,0.586373
335.1,183,0.586087
336.1,184,0.585801
337.1,185,0.585515
338.1,168,0.58523
339.1,168,0.584944
340.1,169,0.584659
341.1,170,0.584375
342.1,171,0.58409
343.1,171,0.583806
344.1,171,0.583522
345.1,172,0.583239
346.1,212,0.582956
347.1,212,0.582673
348.1,213,0.58239
349.1,213,0.582108
350.1,214,0.581826
351.1,341,0.581544
352.1,341,0.581262
353.1,341,0.580981
354.1,343,0.5807
355.1,662,0.580419
356.1,662,0.580139
357.1,663,0.579859
358.1,664,0.579579
359.1,788,0.579299
360.1,788,0.57902
361.1,788,0.578741
362.1,788,0.578462
363.1,788,0.578184
364.1,789,0.577906
365.1,789,0.577628
366.1,789,0.57735
367.1,789,0.577073
368.1,788,0.576796
369.1,788,0.576519
370.1,788,0.576242
371.1,788,0.575966
372.1,584,0.57569
373.1,584,0.575414
374.1,585,0.575139
375.1,585,0.574864
376.1,432,0.574589
377.1,434,0.574314
378.1,434,0.57404
379.1,435,0.573766
380.1,435,0.573492
381.1,263,0.573219
382.1,263,0.572946
383.1,264,0.572673
384.1,266,0.5724
385.1,204,0.572128
386.1,204,0.571855
387.1,204,0.571584
388.1,204,0.571312
389.1,205,0.571041
390.1,183,0.57077
391.1,183,0.570499
392.1,183,0.570228
393.1,183,0.569958
394.1,186,0.569688
395.1,188,0.569418
396.1,188,0.569149
397.1,189,0.56888
398.1,233,0.568611
399.1,233,0.568342
400.1,234,0.568074
401.1,235,0.567806
402.1,235,0.567538
403.1,361,0.567271
404.1,361,0.567003
