"tick","Total","Ave TSM"
1.1,2406,0.6996
5.1,2453,0.698004
9.1,2510,0.696414
13.1,2569,0.694831
17.1,2621,0.693254
21.1,2670,0.691683
25.1,2729,0.690119
29.1,2761,0.688561
33.1,2803,0.687009
37.1,2840,0.685463
41.1,2867,0.683924
45.1,2903,0.68239
49.1,2941,0.680863
53.1,2964,0.679342
57.1,2989,0.677827
61.1,3021,0.676318
65.1,3041,0.674815
69.1,3057,0.673318
73.1,3082,0.671827
77.1,3103,0.670342
81.1,3127,0.668863
85.1,3147,0.667389
89.1,3165,0.665922
93.1,3185,0.66446
97.1,3203,0.663005
101.1,3219,0.661555
105.1,3235,0.660111
109.1,3250,0.658673
113.1,3263,0.65724
117.1,3278,0.655813
121.1,3294,0.654392
125.1,3309,0.652976
129.1,3319,0.651567
133.1,3329,0.650163
137.1,3342,0.648764
141.1,3354,0.647371
145.1,3361,0.645984
149.1,3371,0.644602
153.1,3381,0.643225
157.1,3397,0.641855
161.1,3409,0.640489
165.1,3420,0.639129
169.1,3426,0.637775
173.1,3434,0.636426
177.1,3440,0.635082
181.1,3449,0.633744
185.1,3465,0.632411
189.1,3477,0.631083
193.1,3485,0.629761
197.1,3487,0.628444
201.1,3496,0.627132
205.1,3503,0.625825
209.1,3509,0.624524
213.1,3523,0.623228
217.1,3531,0.621937
221.1,3537,0.620651
225.1,3539,0.61937
229.1,3547,0.618095
233.1,3551,0.616824
237.1,3557,0.615559
241.1,3563,0.614299
245.1,3571,0.613043
249.1,3578,0.611793
253.1,3582,0.610548
257.1,3589,0.609307
261.1,3595,0.608072
265.1,3600,0.606842
269.1,3606,0.605616
273.1,3614,0.604395
277.1,3621,0.60318
281.1,3626,0.601969
285.1,3633,0.600763
289.1,3636,0.599561
293.1,3641,0.598365
297.1,3646,0.597173
301.1,3648,0.595986
305.1,3653,0.594804
309.1,3655,0.593626
313.1,3659,0.592454
317.1,3662,0.591286
321.1,3666,0.590122
325.1,3671,0.588964
329.1,3680,0.58781
333.1,3684,0.58666
337.1,3687,0.585515
341.1,3689,0.584375
345.1,3692,0.583239
349.1,3692,0.582108
353.1,3694,0.580981
357.1,3699,0.579859
361.1,3702,0.578741
365.1,3707,0.577628
369.1,3709,0.576519
373.1,3712,0.575414
377.1,3713,0.574314
381.1,3716,0.573219
385.1,3719,0.572128
389.1,3720,0.571041
393.1,3724,0.569958
397.1,3728,0.56888
401.1,3731,0.567806
405.1,3734,0.566736
409.1,3735,0.565671
413.1,3735,0.56461
417.1,3737,0.563553
421.1,3740,0.5625
425.1,3742,0.561452
429.1,3745,0.560408
433.1,3745,0.559368
437.1,3746,0.558332
441.1,3751,0.5573
445.1,3752,0.556272
449.1,3754,0.555249
453.1,3755,0.554229
457.1,3755,0.553214
461.1,3756,0.552203
465.1,3758,0.551195
469.1,3760,0.550192
473.1,3763,0.549193
477.1,3763,0.548197
481.1,3764,0.547206
485.1,3764,0.546219
489.1,3765,0.545235
493.1,3765,0.544256
497.1,3766,0.54328
501.1,3768,0.542309
505.1,3772,0.541341
509.1,3773,0.540377
513.1,3773,0.539417
517.1,3774,0.538461
521.1,3778,0.537508
525.1,3778,0.536559
529.1,3781,0.535615
533.1,3785,0.534674
537.1,3787,0.533736
541.1,3787,0.532803
545.1,3789,0.531873
549.1,3791,0.530947
553.1,3792,0.530024
557.1,3794,0.529106
561.1,3796,0.528191
565.1,3797,0.527279
569.1,3798,0.526372
573.1,3799,0.525467
577.1,3799,0.524567
581.1,3799,0.52367
585.1,3800,0.522777
589.1,3801,0.521887
593.1,3803,0.521001
597.1,3803,0.520118
601.1,3803,0.519239
605.1,3803,0.518363
609.1,3804,0.517491
613.1,3805,0.516622
617.1,3805,0.515757
621.1,3806,0.514895
625.1,3807,0.514037
629.1,3808,0.513182
633.1,3809,0.512331
637.1,3810,0.511483
641.1,3811,0.510638
645.1,3811,0.509797
649.1,3813,0.508959
653.1,3814,0.508124
657.1,3816,0.507293
661.1,3816,0.506465
665.1,3816,0.50564
669.1,3819,0.504819
673.1,3819,0.504001
677.1,3819,0.503186
681.1,3821,0.502375
685.1,3822,0.501567
689.1,3825,0.500761
693.1,3825,0.49996
697.1,3825,0.499161
701.1,3826,0.498366
705.1,3827,0.497573
709.1,3827,0.496784
713.1,3828,0.495998
717.1,3829,0.495215
721.1,3831,0.494436
725.1,3831,0.493659
729.1,3832,0.492886
733.1,3832,0.492115
737.1,3832,0.491348
741.1,3832,0.490584
745.1,3832,0.489823
749.1,3832,0.489064
753.1,3832,0.488309
757.1,3833,0.487557
761.1,3833,0.486808
765.1,3833,0.486062
769.1,3834,0.485319
773.1,3834,0.484579
777.1,3834,0.483841
781.1,3834,0.483107
785.1,3834,0.482376
789.1,3834,0.481647
793.1,3834,0.480922
797.1,3834,0.480199
801.1,3834,0.47948
805.1,3834,0.478763
809.1,3834,0.478049
813.1,3834,0.477338
817.1,3835,0.476629
821.1,3835,0.475924
825.1,3835,0.475221
829.1,3835,0.474521
833.1,3835,0.473824
837.1,3836,0.47313
841.1,3836,0.472439
845.1,3837,0.47175
849.1,3837,0.471064
853.1,3837,0.470381
857.1,3837,0.4697
861.1,3837,0.469023
865.1,3838,0.468347
869.1,3838,0.467675
873.1,3838,0.467005
877.1,3838,0.466338
881.1,3838,0.465674
885.1,3838,0.465012
889.1,3838,0.464353
893.1,3838,0.463697
897.1,3838,0.463043
901.1,3838,0.462392
905.1,3839,0.461743
909.1,3840,0.461097
913.1,3840,0.460454
917.1,3840,0.459813
921.1,3840,0.459175
925.1,3840,0.458539
929.1,3840,0.457906
933.1,3840,0.457275
937.1,3840,0.456647
941.1,3840,0.456021
945.1,3840,0.455398
949.1,3840,0.454777
953.1,3840,0.454159
957.1,3840,0.453544
961.1,3840,0.45293
965.1,3840,0.452319
969.1,3840,0.451711
973.1,3840,0.451105
977.1,3840,0.450502
981.1,3840,0.449901
985.1,3840,0.449302
989.1,3840,0.448705
993.1,3840,0.448112
997.1,3840,0.44752
1001.1,3840,0.446931
1005.1,3840,0.446344
1009.1,3840,0.445759
1013.1,3840,0.445177
1017.1,3840,0.444597
1021.1,3840,0.44402
1025.1,3840,0.443445
1029.1,3840,0.442872
1033.1,3841,0.442301
1037.1,3841,0.441733
1041.1,3842,0.441167
1045.1,3842,0.440603
1049.1,3842,0.440041
1053.1,3843,0.439482
1057.1,3844,0.438925
1061.1,3844,0.43837
1065.1,3844,0.437817
1069.1,3844,0.437267
1073.1,3844,0.436719
1077.1,3844,0.436173
1081.1,3844,0.435629
