"tick","Total","Ave TSM"
1.1,1185,0.6996
5.1,1197,0.698004
9.1,1208,0.696414
13.1,1216,0.694831
17.1,1231,0.693254
21.1,1244,0.691683
25.1,1252,0.690119
29.1,1269,0.688561
33.1,1283,0.687009
37.1,1292,0.685463
41.1,1306,0.683924
45.1,1313,0.68239
49.1,1324,0.680863
53.1,1332,0.679342
57.1,1339,0.677827
61.1,1353,0.676318
65.1,1360,0.674815
69.1,1371,0.673318
73.1,1385,0.671827
77.1,1399,0.670342
81.1,1409,0.668863
85.1,1423,0.667389
89.1,1431,0.665922
93.1,1442,0.66446
97.1,1453,0.663005
101.1,1465,0.661555
105.1,1474,0.660111
109.1,1480,0.658673
113.1,1495,0.65724
117.1,1504,0.655813
121.1,1516,0.654392
125.1,1526,0.652976
129.1,1535,0.651567
133.1,1541,0.650163
137.1,1551,0.648764
141.1,1558,0.647371
145.1,1570,0.645984
149.1,1583,0.644602
153.1,1591,0.643225
157.1,1604,0.641855
161.1,1617,0.640489
165.1,1627,0.639129
169.1,1634,0.637775
173.1,1640,0.636426
177.1,1648,0.635082
181.1,1657,0.633744
185.1,1664,0.632411
189.1,1676,0.631083
193.1,1683,0.629761
197.1,1693,0.628444
201.1,1704,0.627132
205.1,1712,0.625825
209.1,1722,0.624524
213.1,1732,0.623228
217.1,1746,0.621937
221.1,1751,0.620651
225.1,1762,0.61937
229.1,1765,0.618095
233.1,1773,0.616824
237.1,1779,0.615559
241.1,1789,0.614299
245.1,1801,0.613043
249.1,1814,0.611793
253.1,1820,0.610548
257.1,1823,0.609307
261.1,1831,0.608072
265.1,1838,0.606842
269.1,1850,0.605616
273.1,1861,0.604395
277.1,1869,0.60318
281.1,1875,0.601969
285.1,1882,0.600763
289.1,1888,0.599561
293.1,1894,0.598365
297.1,1900,0.597173
301.1,1908,0.595986
305.1,1917,0.594804
309.1,1926,0.593626
313.1,1938,0.592454
317.1,1944,0.591286
321.1,1951,0.590122
325.1,1963,0.588964
329.1,1972,0.58781
333.1,1977,0.58666
337.1,1986,0.585515
341.1,1995,0.584375
345.1,1999,0.583239
349.1,2006,0.582108
353.1,2012,0.580981
357.1,2021,0.579859
