"tick","Total","Ave TSM"
1057.1,3551,0.438925
1061.1,2300,0.43837
1065.1,2300,0.437817
1069.1,1055,0.437267
1073.1,1154,0.436719
1077.1,3001,0.436173
1081.1,3984,0.435629
1085.1,4451,0.435087
1089.1,4625,0.434547
1093.1,4639,0.43401
1097.1,4631,0.433475
1101.1,4376,0.432942
1105.1,4178,0.432411
1109.1,3551,0.431882
1113.1,2300,0.431355
1117.1,2300,0.430831
1121.1,1055,0.430308
1125.1,1154,0.429788
1129.1,3001,0.429269
1133.1,3984,0.428753
1137.1,4451,0.428239
1141.1,4625,0.427726
1145.1,4639,0.427216
1149.1,4631,0.426708
1153.1,4376,0.426202
1157.1,4178,0.425698
1161.1,3551,0.425196
1165.1,2300,0.424696
1169.1,2300,0.424198
1173.1,1055,0.423702
1177.1,1154,0.423208
1181.1,3001,0.422716
1185.1,3984,0.422226
1189.1,4451,0.421737
1193.1,4625,0.421251
1197.1,4639,0.420767
1201.1,4631,0.420285
1205.1,4376,0.419804
1209.1,4178,0.419326
1213.1,3551,0.418849
1217.1,2300,0.418374
1221.1,2300,0.417902
1225.1,1055,0.417431
1229.1,1154,0.416962
1233.1,3001,0.416495
1237.1,3984,0.416029
1241.1,4451,0.415566
1245.1,4625,0.415104
1249.1,4639,0.414645
1253.1,4631,0.414187
1257.1,4376,0.413731
1261.1,4178,0.413276
1265.1,3551,0.412824
1269.1,2300,0.412373
1273.1,2300,0.411924
1277.1,1055,0.411477
1281.1,1154,0.411032
1285.1,3001,0.410589
1289.1,3984,0.410147
1293.1,4451,0.409707
1297.1,4625,0.409269
1301.1,4639,0.408833
1305.1,4631,0.408398
1309.1,4376,0.407965
1313.1,4178,0.407534
1317.1,3551,0.407104
1321.1,2300,0.406676
1325.1,2300,0.40625
1329.1,1055,0.405826
1333.1,1154,0.405403
1337.1,3001,0.404982
1341.1,3984,0.404563
1345.1,4451,0.404145
1349.1,4625,0.403729
1353.1,4639,0.403315
1357.1,4631,0.402902
1361.1,4376,0.402492
1365.1,4178,0.402082
1369.1,3551,0.401674
1373.1,2300,0.401268
1377.1,2300,0.400864
1381.1,1055,0.400461
1385.1,1154,0.40006
1389.1,3001,0.39966
1393.1,3984,0.399262
1397.1,4451,0.398866
1401.1,4625,0.398471
1405.1,4639,0.398078
1409.1,4631,0.397686
1413.1,4376,0.397296
1417.1,4178,0.396907
1421.1,3551,0.39652
1425.1,2300,0.396134
1429.1,2300,0.395751
1433.1,1055,0.395368
1437.1,1154,0.394987
1441.1,3001,0.394608
1445.1,3984,0.39423
1449.1,4451,0.393854
1453.1,4625,0.393479
1457.1,4639,0.393105
1461.1,4631,0.392734
1465.1,4376,0.392363
1469.1,4178,0.391994
1473.1,3551,0.391627
1477.1,2300,0.391261
1481.1,2300,0.390896
1485.1,1055,0.390533
1489.1,1154,0.390172
1493.1,3001,0.389812
1497.1,3984,0.389453
1501.1,4451,0.389095
1505.1,4625,0.38874
1509.1,4639,0.388385
1513.1,4631,0.388032
1517.1,4376,0.38768
1521.1,4178,0.38733
1525.1,3551,0.386981
1529.1,2300,0.386634
1533.1,2300,0.386288
1537.1,1055,0.385943
1541.1,1154,0.3856
1545.1,3001,0.385258
1549.1,3984,0.384918
1553.1,4451,0.384579
1557.1,4625,0.384241
1561.1,4639,0.383904
1565.1,4631,0.383569
1569.1,4376,0.383235
1573.1,4178,0.382903
1577.1,3551,0.382572
1581.1,2300,0.382242
1585.1,2300,0.381914
1589.1,1055,0.381586
1593.1,1154,0.381261
1597.1,3001,0.380936
1601.1,3984,0.380613
1605.1,4451,0.380291
1609.1,4625,0.37997
1613.1,4639,0.379651
1617.1,4631,0.379333
1621.1,4376,0.379016
1625.1,4178,0.3787
1629.1,3551,0.378386
1633.1,2300,0.378073
1637.1,2300,0.377761
1641.1,1055,0.37745
1645.1,1154,0.377141
1649.1,3001,0.376833
1653.1,3984,0.376526
1657.1,4451,0.37622
1661.1,4625,0.375916
1665.1,4639,0.375613
1669.1,4631,0.375311
1673.1,4376,0.37501
1677.1,4178,0.37471
1681.1,3551,0.374412
1685.1,2300,0.374115
1689.1,2300,0.373819
1693.1,1055,0.373524
1697.1,1154,0.37323
1701.1,3001,0.372938
1705.1,3984,0.372646
1709.1,4451,0.372356
1713.1,4625,0.372067
1717.1,4639,0.37178
1721.1,4631,0.371493
1725.1,4376,0.371207
1729.1,4178,0.370923
1733.1,3551,0.37064
1737.1,2300,0.370357
1741.1,2300,0.370076
1745.1,1055,0.369797
1749.1,1154,0.369518
1753.1,3001,0.36924
1757.1,3984,0.368964
1761.1,4451,0.368688
1765.1,4625,0.368414
1769.1,4639,0.368141
1773.1,4631,0.367868
1777.1,4376,0.367597
1781.1,4178,0.367327
1785.1,3551,0.367058
1789.1,2300,0.366791
1793.1,2300,0.366524
1797.1,1055,0.366258
1801.1,1154,0.365994
1805.1,3001,0.36573
1809.1,3984,0.365467
1813.1,4451,0.365206
1817.1,4625,0.364946
1821.1,4639,0.364686
1825.1,4631,0.364428
1829.1,4376,0.36417
1833.1,4178,0.363914
1837.1,3551,0.363659
1841.1,2300,0.363405
1845.1,2300,0.363151
1849.1,1055,0.362899
1853.1,1154,0.362648
1857.1,3001,0.362398
1861.1,3984,0.362148
1865.1,4451,0.3619
1869.1,4625,0.361653
1873.1,4639,0.361407
1877.1,4631,0.361162
1881.1,4376,0.360917
1885.1,4178,0.360674
1889.1,3551,0.360432
1893.1,2300,0.36019
1897.1,2300,0.35995
1901.1,1055,0.35971
1905.1,1154,0.359472
1909.1,3001,0.359234
1913.1,3984,0.358997
1917.1,4451,0.358762
1921.1,4625,0.358527
1925.1,4639,0.358293
1929.1,4631,0.358061
1933.1,4376,0.357829
1937.1,4178,0.357598
1941.1,3551,0.357368
1945.1,2300,0.357138
1949.1,2300,0.35691
1953.1,1055,0.356683
1957.1,1154,0.356457
1961.1,3001,0.356231
1965.1,3984,0.356007
1969.1,4451,0.355783
1973.1,4625,0.35556
1977.1,4639,0.355338
1981.1,4631,0.355117
1985.1,4376,0.354897
1989.1,4178,0.354678
1993.1,3551,0.354459
1997.1,2300,0.354242
