"tick","Total","Ave TSM"
1.1,0,0.6996
2.1,0,0.6992
3.1,0,0.698801
4.1,0,0.698402
5.1,0,0.698004
6.1,0,0.697606
7.1,0,0.697208
8.1,0,0.696811
9.1,0,0.696414
10.1,0,0.696018
11.1,0,0.695622
12.1,0,0.695226
13.1,0,0.694831
14.1,0,0.694436
15.1,0,0.694042
16.1,0,0.693648
17.1,0,0.693254
18.1,0,0.692861
19.1,0,0.692468
20.1,0,0.692076
21.1,0,0.691683
22.1,0,0.691292
23.1,0,0.690901
24.1,0,0.69051
25.1,0,0.690119
26.1,0,0.689729
27.1,0,0.689339
28.1,0,0.68895
29.1,0,0.688561
30.1,0,0.688172
31.1,0,0.687784
32.1,0,0.687396
33.1,0,0.687009
34.1,0,0.686622
35.1,0,0.686235
36.1,0,0.685849
37.1,0,0.685463
38.1,0,0.685078
39.1,0,0.684693
40.1,0,0.684308
41.1,0,0.683924
42.1,0,0.68354
43.1,0,0.683156
44.1,0,0.682773
45.1,0,0.68239
46.1,0,0.682008
47.1,0,0.681626
48.1,0,0.681244
49.1,0,0.680863
50.1,0,0.680482
51.1,0,0.680102
52.1,0,0.679722
53.1,0,0.679342
54.1,0,0.678963
55.1,0,0.678584
56.1,0,0.678205
57.1,0,0.677827
