"tick","Total","Ave TSM"
1.1,973,0.6996
2.1,978,0.6992
3.1,983,0.698801
4.1,994,0.698402
5.1,1000,0.698004
6.1,1005,0.697606
7.1,1013,0.697208
8.1,1019,0.696811
9.1,1024,0.696414
10.1,1028,0.696018
11.1,1032,0.695622
12.1,1037,0.695226
13.1,1044,0.694831
14.1,1046,0.694436
15.1,1055,0.694042
16.1,1057,0.693648
17.1,1060,0.693254
18.1,1065,0.692861
19.1,1069,0.692468
20.1,1074,0.692076
21.1,1079,0.691683
22.1,1081,0.691292
23.1,1092,0.690901
24.1,1099,0.69051
25.1,1104,0.690119
26.1,1108,0.689729
27.1,1112,0.689339
28.1,1117,0.68895
29.1,1121,0.688561
30.1,1126,0.688172
31.1,1130,0.687784
32.1,1133,0.687396
33.1,1137,0.687009
34.1,1142,0.686622
35.1,1146,0.686235
36.1,1149,0.685849
37.1,1154,0.685463
38.1,1156,0.685078
39.1,1156,0.684693
40.1,1158,0.684308
41.1,1162,0.683924
42.1,1168,0.68354
43.1,1171,0.683156
44.1,1174,0.682773
45.1,1179,0.68239
46.1,1186,0.682008
47.1,1188,0.681626
48.1,1193,0.681244
49.1,1199,0.680863
50.1,1200,0.680482
51.1,1203,0.680102
52.1,1206,0.679722
53.1,1207,0.679342
54.1,1209,0.678963
55.1,1213,0.678584
56.1,1215,0.678205
57.1,1217,0.677827
58.1,1220,0.677449
59.1,1222,0.677072
60.1,1227,0.676695
61.1,1231,0.676318
62.1,1233,0.675942
63.1,1235,0.675566
64.1,1238,0.67519
65.1,1240,0.674815
66.1,1240,0.67444
67.1,1243,0.674066
68.1,1246,0.673692
69.1,1247,0.673318
70.1,1249,0.672944
71.1,1254,0.672572
72.1,1255,0.672199
73.1,1258,0.671827
74.1,1261,0.671455
75.1,1263,0.671084
76.1,1263,0.670712
77.1,1263,0.670342
78.1,1266,0.669971
79.1,1267,0.669601
80.1,1272,0.669232
81.1,1275,0.668863
82.1,1281,0.668494
83.1,1286,0.668125
84.1,1289,0.667757
85.1,1289,0.667389
86.1,1291,0.667022
87.1,1295,0.666655
88.1,1298,0.666288
89.1,1299,0.665922
90.1,1301,0.665556
91.1,1302,0.665191
92.1,1306,0.664825
93.1,1306,0.66446
94.1,1308,0.664096
95.1,1310,0.663732
96.1,1311,0.663368
97.1,1314,0.663005
98.1,1315,0.662642
99.1,1316,0.662279
100.1,1316,0.661917
101.1,1319,0.661555
102.1,1321,0.661193
103.1,1321,0.660832
104.1,1324,0.660471
105.1,1325,0.660111
106.1,1326,0.659751
107.1,1328,0.659391
108.1,1330,0.659032
109.1,1332,0.658673
110.1,1334,0.658314
111.1,1337,0.657955
112.1,1340,0.657598
113.1,1340,0.65724
114.1,1343,0.656883
115.1,1346,0.656526
116.1,1348,0.656169
117.1,1349,0.655813
118.1,1351,0.655457
119.1,1352,0.655102
120.1,1355,0.654747
121.1,1357,0.654392
122.1,1358,0.654038
123.1,1362,0.653683
124.1,1364,0.65333
125.1,1365,0.652976
126.1,1368,0.652623
127.1,1369,0.652271
128.1,1371,0.651919
129.1,1371,0.651567
130.1,1371,0.651215
131.1,1371,0.650864
132.1,1371,0.650513
133.1,1372,0.650163
134.1,1375,0.649812
135.1,1375,0.649463
136.1,1377,0.649113
137.1,1379,0.648764
138.1,1382,0.648415
139.1,1383,0.648067
140.1,1384,0.647719
141.1,1384,0.647371
142.1,1386,0.647024
143.1,1386,0.646677
144.1,1388,0.64633
145.1,1388,0.645984
146.1,1389,0.645638
147.1,1390,0.645292
148.1,1391,0.644947
149.1,1392,0.644602
150.1,1394,0.644257
151.1,1394,0.643913
152.1,1395,0.643569
153.1,1396,0.643225
154.1,1396,0.642882
155.1,1397,0.642539
156.1,1400,0.642197
157.1,1400,0.641855
158.1,1400,0.641513
159.1,1401,0.641171
160.1,1402,0.64083
161.1,1404,0.640489
162.1,1404,0.640149
163.1,1406,0.639809
164.1,1407,0.639469
165.1,1408,0.639129
166.1,1408,0.63879
167.1,1411,0.638451
168.1,1411,0.638113
169.1,1411,0.637775
170.1,1411,0.637437
171.1,1412,0.6371
172.1,1413,0.636762
173.1,1415,0.636426
174.1,1416,0.636089
175.1,1416,0.635753
176.1,1416,0.635417
177.1,1417,0.635082
178.1,1418,0.634747
179.1,1419,0.634412
180.1,1420,0.634078
181.1,1421,0.633744
