37,50,4.1672,0.5,0.25,0,0,0.5,0.5,0,0.25,0.5,0,0.25,0.25
41,32,4.1672,0.75,0.25,0.75,0.75,0.75,0.75,0.25,0.75,0,0,0.5,0.25
52,69,4.1672,0.75,0.5,0.75,0.75,0.75,0.5,0.75,0,0,0.5,0,0
64,16,4.1672,0.5,0.25,0.75,0.75,0.25,0.25,0.5,0.75,0,0.5,0,0.5
64,56,4.1672,0.5,0,0.5,0,0.5,0,0.25,0.5,0.75,0.25,0.25,0
64,60,4.1672,0.25,0,0.5,0,0.5,0,0.75,0.5,0.25,0,0,0.5
70,44,4.1672,0.5,0,0.5,0,0,0.75,0,0.25,0.25,0,0.5,0.25
77,69,4.1672,0.5,0.75,0.5,0.5,0.25,0,0,0.25,0.25,0,0,0.5
86,58,4.1672,0,0.75,0.5,0,0,0,0.5,0.25,0.25,0.75,0.25,0.5
94,35,4.1672,0.5,0.5,0,0.75,0.25,0,0.25,0.75,0.25,0.75,0,0
99,43,4.1672,0,0,0.25,0.75,0,0.5,0.25,0.75,0.5,0.5,0,0
100,34,4.1672,0,0.75,0.5,0.75,0,0.75,0.75,0.25,0.25,0.75,0,0.75
1,12,4.9361,0.25,0,0.75,0,0.75,0,0.75,0.25,0,0.25,0.5,0.25
6,28,4.9361,0.5,0,0.5,0,0,0.25,0.75,0.5,0.5,0.5,0,0.25
9,33,4.9361,0.75,0.25,0.5,0.75,0.25,0.75,0.25,0.75,0.75,0.25,0.25,0
18,5,4.9361,0.5,0.25,0,0.75,0,0,0.75,0.75,0.75,0,0.5,0.75
21,7,4.9361,0.5,0,0.25,0.5,0.75,0.25,0.5,0.5,0.25,0.5,0.5,0.25
22,43,4.9361,0.75,0,0.25,0.5,0.75,0.25,0.75,0.5,0.5,0.75,0,0.5
32,23,4.9361,0,0.75,0.25,0.75,0,0.75,0.5,0,0.5,0.75,0.5,0
33,17,4.9361,0,0.25,0.25,0.75,0.75,0.25,0.5,0.75,0.75,0,0.25,0.75
36,23,4.9361,0.25,0.25,0.75,0.75,0,0.25,0.5,0.5,0.25,0,0.5,0.75
37,36,4.9361,0,0.25,0.75,0.75,0.25,0,0.75,0.75,0.5,0,0.5,0.75
37,40,4.9361,0.5,0.75,0.5,0.75,0.75,0,0.5,0.75,0,0.75,0,0.5
39,12,4.9361,0.75,0.25,0,0.75,0.75,0,0.25,0.75,0,0.5,0,0
41,66,4.9361,0.75,0.25,0,0.75,0.5,0.5,0,0.75,0.75,0,0.5,0.75
42,46,4.9361,0.75,0,0.5,0.75,0.5,0.75,0.75,0.75,0,0.25,0,0.5
55,54,4.9361,0,0.25,0.75,0.75,0.25,0,0,0.5,0.25,0.5,0.75,0.5
58,20,4.9361,0.25,0,0,0.25,0,0,0,0.25,0.75,0,0.5,0
61,57,4.9361,0,0,0.25,0.75,0.5,0.75,0,0.25,0.25,0.75,0.75,0.5
64,62,4.9361,0.5,0.25,0,0.5,0.75,0.5,0.75,0.25,0.75,0.25,0.25,0.5
67,49,4.9361,0,0,0,0.5,0.75,0.75,0.75,0.25,0.5,0,0.5,0.5
70,10,4.9361,0.75,0.25,0.5,0.5,0.5,0.25,0,0.5,0.25,0.75,0.25,0.5
70,64,4.9361,0.75,0.25,0.75,0.75,0,0.25,0.5,0.5,0.5,0.25,0.5,0.75
71,53,4.9361,0.75,0.25,0.25,0,0,0,0,0.75,0,0.75,0.25,0.25
75,70,4.9361,0,0.5,0.5,0.75,0.25,0.75,0.25,0.75,0.5,0.5,0,0.5
77,51,4.9361,0.75,0.25,0,0.75,0.75,0.75,0.75,0,0,0.5,0.25,0.75
92,42,4.9361,0.5,0.5,0.25,0.75,0,0.5,0,0.75,0,0.5,0.5,0
95,6,4.9361,0,0.25,0.5,0.75,0.5,0.5,0,0.75,0.75,0.25,0.5,0.75
96,8,4.9361,0.75,0.75,0,0.5,0.5,0,0.5,0.5,0.5,0.5,0.5,0.5
97,52,4.9361,0.25,0,0.5,0,0.25,0.75,0,0.25,0,0.5,0.5,0.25
97,63,4.9361,0.25,0.25,0,0.75,0.5,0.25,0.5,0.5,0.25,0.25,0,0.75
99,56,4.9361,0.25,0,0,0,0,0.5,0.75,0.25,0,0.25,0.5,0.25
2,44,5.7763,0.75,0,0.25,0.75,0.75,0.75,0.5,0.75,0.5,0.5,0,0.5
3,41,5.7763,0.75,0.25,0,0.75,0.25,0.75,0,0.5,0.75,0.5,0.75,0.5
6,47,5.7763,0.75,0.75,0.75,0.75,0.5,0.5,0.75,0.75,0.75,0.25,0,0.5
12,12,5.7763,0.25,0.75,0.5,0.75,0.5,0.5,0.5,0.75,0.25,0.5,0,0.25
24,30,5.7763,0.75,0.75,0,0.75,0.5,0.5,0.75,0,0.25,0.75,0.25,0.75
25,69,5.7763,0.75,0.25,0.75,0.75,0.75,0.25,0,0.75,0.75,0,0.5,0.75
45,13,5.7763,0.25,0.75,0,0.75,0.75,0.5,0.75,0,0,0,0,0
47,38,5.7763,0.25,0.75,0,0.5,0.5,0.25,0.5,0.25,0.75,0.5,0.5,0.25
52,18,5.7763,0.75,0,0.5,0,0.5,0,0.5,0.5,0.75,0,0.25,0
54,46,5.7763,0.75,0,0.75,0.5,0,0,0.25,0.25,0,0,0,0.25
58,39,5.7763,0.25,0.25,0.75,0.75,0,0.25,0.25,0.5,0.5,0.5,0.5,0.75
58,59,5.7763,0.75,0.25,0,0.5,0,0.5,0.75,0.25,0.75,0.5,0.25,0.5
63,4,5.7763,0.25,0.25,0.25,0.75,0.75,0.25,0.25,0.75,0.75,0.25,0,0
95,70,5.7763,0.5,0.25,0.25,0.75,0.75,0.5,0,0.75,0.75,0.25,0.5,0.75
98,30,5.7763,0.25,0.25,0.25,0.5,0.75,0.25,0.75,0.5,0.25,0.25,0.25,0.25
100,23,5.7763,0.5,0.75,0.5,0.75,0.25,0.75,0.5,0.75,0.5,0.5,0.25,0.5
100,33,5.7763,0.5,0.25,0.25,0.5,0.5,0.75,0,0.5,0.75,0,0.25,0.5
100,69,5.7763,0.75,0.5,0.75,0.75,0,0.5,0.75,0.75,0.25,0.75,0,0.5
10,55,6.6607,0.5,0.25,0,0,0.75,0.5,0,0.5,0.75,0.25,0,0.25
11,58,6.6607,0,0.25,0,0.5,0,0.25,0.75,0.5,0,0.5,0.25,0.5
15,13,6.6607,0.75,0,0.75,0.25,0.75,0.25,0.75,0.25,0.5,0,0.25,0.25
15,37,6.6607,0.5,0.25,0.25,0.75,0,0.75,0.5,0.75,0.25,0.25,0.5,0.5
16,58,6.6607,0.25,0,0,0.75,0.25,0,0,0.75,0,0.25,0,0.75
22,34,6.6607,0.75,0.5,0.75,0.75,0,0.75,0.75,0.75,0.5,0,0.5,0.25
27,38,6.6607,0.5,0.75,0.5,0.75,0.25,0.25,0.5,0.75,0.25,0.75,0.5,0.25
29,69,6.6607,0,0.25,0.5,0.75,0.75,0.75,0,0.25,0.25,0,0,0.75
30,5,6.6607,0.25,0.25,0.5,0.75,0,0.25,0.5,0.75,0.5,0.25,0,0
41,9,6.6607,0.5,0.75,0.5,0.5,0.25,0.25,0.75,0.5,0.5,0.75,0.25,0.25
43,13,6.6607,0.75,0,0.5,0.5,0.75,0.5,0,0.25,0.75,0.5,0,0.5
51,60,6.6607,0.25,0,0.25,0.75,0.25,0.5,0.5,0.75,0.5,0.5,0.25,0
56,8,6.6607,0.5,0.25,0.5,0.75,0.75,0.25,0.5,0.75,0.75,0.75,0,0
59,59,6.6607,0.75,0.75,0.75,0.75,0,0.25,0.25,0.75,0.5,0.5,0.5,0.5
67,67,6.6607,0.25,0.75,0.5,0.5,0.5,0.5,0.75,0.25,0.75,0.5,0.25,0.25
72,50,6.6607,0,0.25,0,0.5,0.5,0,0,0,0.5,0.25,0.25,0.5
76,7,6.6607,0.25,0,0,0.75,0.25,0.75,0,0.75,0.25,0,0.25,0.75
77,59,6.6607,0.5,0.5,0.5,0.75,0.75,0.75,0.75,0.75,0.25,0.75,0,0.25
82,68,6.6607,0,0.75,0.75,0.75,0.75,0.75,0.5,0.75,0.75,0.75,0,0.25
90,43,6.6607,0.5,0.75,0.25,0.75,0.5,0,0.75,0.75,0.5,0.25,0.25,0.75
94,13,6.6607,0.5,0,0,0.5,0.75,0,0.25,0.25,0.25,0,0,0.25
96,25,6.6607,0.5,0,0,0.5,0,0,0,0.25,0.75,0,0,0.75
1,47,7.574,0.5,0.25,0,0.75,0.5,0.75,0.5,0.75,0.75,0,0.25,0.5
14,9,7.574,0.5,0.5,0.75,0,0,0,0,0.75,0.5,0.5,0.25,0.25
16,19,7.574,0.5,0,0,0.25,0.75,0.25,0.75,0.25,0.5,0.25,0.25,0.25
19,6,7.574,0,0.25,0.5,0,0.25,0.25,0,0.25,0.25,0,0.25,0.25
20,6,7.574,0,0.5,0,0.75,0,0,0.25,0.75,0.25,0,0.5,0
25,31,7.574,0.25,0.25,0.5,0.5,0.5,0,0,0.5,0.75,0.5,0.25,0
31,21,7.574,0.5,0,0.5,0.5,0,0,0.5,0.5,0,0.5,0.5,0.25
42,21,7.574,0.25,0.25,0,0,0,0.25,0,0.25,0.5,0.25,0.25,0
43,26,7.574,0,0.75,0.5,0.75,0.75,0.75,0.75,0.75,0.75,0,0.5,0.5
43,50,7.574,0.75,0.25,0.5,0.5,0.25,0.25,0,0.25,0.5,0,0.25,0.25
48,14,7.574,0.5,0,0.5,0.75,0.5,0.75,0.5,0.75,0,0.5,0,0.25
49,5,7.574,0.75,0,0.25,0.75,0.75,0,0.75,0.75,0.5,0.75,0,0.75
54,18,7.574,0,0.5,0.75,0.75,0.75,0,0.5,0.75,0.25,0,0,0.25
63,44,7.574,0.25,0,0.25,0.5,0.25,0,0.5,0.25,0.75,0,0.5,0.5
64,21,7.574,0.5,0.25,0,0.75,0.75,0,0.25,0.5,0.5,0.75,0.75,0.25
64,61,7.574,0.75,0.25,0.75,0.75,0.75,0.5,0.25,0.75,0.25,0.25,0.5,0.25
66,34,7.574,0.75,0,0.25,0.75,0.5,0,0,0.25,0,0.25,0.75,0
69,8,7.574,0.25,0,0,0.5,0.75,0.25,0.5,0.5,0.25,0.25,0.5,0.5
70,4,7.574,0,0,0.25,0.75,0.5,0.25,0,0.75,0.5,0.75,0.5,0.75
76,10,7.574,0,0.25,0.5,0.75,0.5,0.5,0,0.75,0.25,0.75,0.5,0
77,6,7.574,0.75,0,0,0.75,0,0,0.75,0.75,0.25,0.75,0,0.75
83,19,7.574,0.5,0.5,0.5,0.75,0.75,0.75,0.25,0.75,0.25,0.5,0.5,0.25
84,20,7.574,0.25,0.5,0.5,0.75,0.75,0.5,0.75,0.75,0,0.25,0,0.25
86,4,7.574,0,0.25,0.5,0.75,0.25,0.25,0.25,0.75,0.5,0.75,0.25,0
86,5,7.574,0,0,0.5,0.75,0.5,0.75,0.25,0.75,0.25,0,0,0.25
86,70,7.574,0.25,0,0.25,0.25,0.5,0.25,0,0.5,0.25,0.5,0.5,0.25
95,43,7.574,0.75,0,0.5,0,0.75,0,0.5,0.5,0.75,0,0,0.25
96,45,7.574,0.5,0.75,0.25,0.5,0,0.25,0,0.5,0.75,0.5,0,0.5
98,8,7.574,0.75,0,0,0.75,0.5,0.25,0.25,0.25,0,0.75,0.75,0.5
98,58,7.574,0,0,0.5,0.75,0.25,0,0.5,0.5,0.25,0.75,0.75,0.25
4,13,8.5068,0.25,0.25,0.5,0.75,0.25,0.25,0.75,0.75,0.75,0.75,0.5,0
4,65,8.5068,0,0.25,0.5,0.75,0.5,0.25,0.25,0.5,0,0.75,0,0.75
5,1,8.5068,0.25,0.75,0.25,0.75,0,0.25,0.5,0.75,0.25,0,0.25,0
18,65,8.5068,0.75,0,0.75,0.75,0.25,0.5,0.5,0.75,0.75,0,0.25,0
27,46,8.5068,0.25,0,0.25,0.75,0,0.75,0.25,0.75,0.25,0.75,0,0
28,54,8.5068,0.5,0.75,0.25,0.75,0.5,0.75,0.75,0.75,0,0,0.25,0.25
29,50,8.5068,0.75,0.75,0,0.75,0.25,0.75,0,0.75,0.5,0,0.25,0
32,40,8.5068,0,0,0,0,0,0.75,0.75,0.5,0.5,0,0,0.5
35,43,8.5068,0.25,0.25,0.75,0.5,0.25,0.75,0,0.25,0.75,0.25,0.25,0.25
51,10,8.5068,0,0,0.5,0.5,0.5,0.5,0.75,0.25,0.25,0.25,0.25,0.25
54,38,8.5068,0,0,0.5,0.75,0.25,0.75,0.5,0.25,0.25,0,0,0.75
59,62,8.5068,0,0.25,0,0.75,0.75,0,0.25,0.5,0.5,0.25,0.75,0.5
65,42,8.5068,0.75,0.25,0.5,0.75,0.25,0.25,0.75,0.75,0.25,0,0.25,0
66,1,8.5068,0.75,0.5,0.75,0.75,0,0,0,0.75,0,0.5,0.5,0.75
67,53,8.5068,0.75,0.25,0.5,0.5,0,0,0.75,0.5,0.25,0.75,0.25,0.5
70,39,8.5068,0.75,0.25,0.75,0.75,0.5,0.25,0.5,0.75,0.75,0.5,0,0
72,26,8.5068,0.5,0,0.75,0.75,0.5,0.75,0.25,0.75,0.5,0.75,0.5,0.5
73,27,8.5068,0,0,0.75,0,0,0.5,0.5,0.25,0.5,0.5,0.25,0.25
82,62,8.5068,0.5,0,0.25,0.5,0.5,0.75,0,0.25,0.75,0.5,0,0.5
84,2,8.5068,0.25,0,0.75,0.5,0.25,0.75,0.75,0.5,0.5,0.5,0.25,0.25
84,11,8.5068,0.75,0.5,0,0.75,0.25,0.25,0.5,0.75,0.75,0.5,0,0.5
91,7,8.5068,0,0,0,0.75,0.75,0.25,0.75,0.75,0.5,0.75,0,0
97,24,8.5068,0,0.25,0.25,0.75,0,0.5,0.75,0.75,0.75,0,0.25,0.75
97,26,8.5068,0.25,0,0.25,0.5,0,0.25,0.75,0.5,0.25,0.75,0,0.25
97,45,8.5068,0.25,0,0.25,0.75,0.75,0.5,0,0.5,0.5,0,0.75,0
100,18,8.5068,0.25,0,0,0.5,0.5,0.75,0,0.5,0.25,0.5,0,0.25
100,53,8.5068,0.75,0.25,0.5,0,0.25,0.75,0,0.5,0.25,0.5,0.25,0.25
2,47,9.4533,0.25,0.75,0.75,0.75,0,0.25,0.5,0.75,0.5,0.25,0,0.25
5,61,9.4533,0,0.75,0.25,0.75,0.25,0.5,0.25,0.75,0,0.75,0.25,0.5
8,60,9.4533,0.5,0.25,0.5,0.75,0,0,0.75,0.25,0,0,0,0.75
10,54,9.4533,0.25,0,0.25,0,0,0.25,0.75,0.5,0,0.75,0.5,0.25
13,41,9.4533,0,0,0,0.5,0.75,0.75,0,0.25,0.5,0.5,0.5,0
20,62,9.4533,0,0.75,0,0.75,0.5,0.75,0,0,0.25,0.25,0,0.75
20,70,9.4533,0.75,0,0.5,0.75,0.75,0,0.75,0.75,0.5,0.5,0,0
21,22,9.4533,0.75,0,0.25,0.75,0,0.5,0,0.75,0.5,0.5,0,0
26,43,9.4533,0,0,0.5,0.25,0.75,0.5,0.75,0.5,0.75,0.75,0.25,0.25
31,10,9.4533,0.5,0.75,0,0.5,0.25,0.75,0,0.25,0.75,0.5,0.25,0.5
34,22,9.4533,0.75,0,0.75,0.75,0.75,0.5,0.5,0.5,0,0.5,0,0.75
35,29,9.4533,0.5,0.25,0.5,0.75,0.75,0.25,0.25,0.75,0.25,0,0.25,0
41,24,9.4533,0.5,0,0.25,0.5,0,0.5,0,0.25,0.25,0,0.5,0.5
43,43,9.4533,0.75,0,0.5,0.5,0.75,0.25,0,0.25,0.25,0.5,0.5,0.5
45,17,9.4533,0,0,0.75,0.75,0.75,0.75,0.5,0.25,0.25,0.25,0,0.75
51,3,9.4533,0.5,0.75,0.25,0.75,0.5,0,0.75,0.75,0.5,0.25,0.5,0
63,18,9.4533,0,0,0.75,0.5,0.75,0.75,0.25,0.5,0.25,0.25,0.25,0.25
