"tick","Total","Ave TSM"
1.1,561,0.6996
2.1,561,0.6992
3.1,563,0.698801
4.1,561,0.698402
5.1,563,0.698004
6.1,564,0.697606
7.1,564,0.697208
8.1,506,0.696811
9.1,507,0.696414
10.1,507,0.696018
11.1,507,0.695622
12.1,454,0.695226
13.1,455,0.694831
14.1,455,0.694436
15.1,456,0.694042
16.1,457,0.693648
17.1,304,0.693254
18.1,304,0.692861
19.1,304,0.692468
20.1,304,0.692076
21.1,182,0.691683
22.1,182,0.691292
23.1,183,0.690901
24.1,185,0.69051
25.1,185,0.690119
26.1,101,0.689729
27.1,101,0.689339
28.1,101,0.68895
29.1,101,0.688561
30.1,121,0.688172
31.1,121,0.687784
32.1,121,0.687396
33.1,121,0.687009
34.1,246,0.686622
35.1,247,0.686235
36.1,248,0.685849
37.1,248,0.685463
38.1,248,0.685078
39.1,414,0.684693
40.1,414,0.684308
41.1,414,0.683924
42.1,415,0.68354
43.1,549,0.683156
44.1,550,0.682773
45.1,550,0.68239
46.1,550,0.682008
47.1,581,0.681626
48.1,581,0.681244
49.1,581,0.680863
50.1,581,0.680482
51.1,584,0.680102
52.1,584,0.679722
53.1,585,0.679342
54.1,585,0.678963
55.1,585,0.678584
56.1,585,0.678205
57.1,585,0.677827
58.1,585,0.677449
59.1,586,0.677072
60.1,541,0.676695
61.1,541,0.676318
62.1,541,0.675942
63.1,541,0.675566
64.1,486,0.67519
65.1,486,0.674815
66.1,486,0.67444
67.1,487,0.674066
68.1,490,0.673692
69.1,330,0.673318
70.1,330,0.672944
71.1,330,0.672572
72.1,330,0.672199
73.1,200,0.671827
74.1,200,0.671455
75.1,203,0.671084
76.1,203,0.670712
77.1,203,0.670342
78.1,121,0.669971
79.1,121,0.669601
80.1,121,0.669232
81.1,121,0.668863
82.1,132,0.668494
83.1,132,0.668125
84.1,132,0.667757
85.1,133,0.667389
86.1,268,0.667022
87.1,268,0.666655
88.1,269,0.666288
89.1,269,0.665922
90.1,269,0.665556
91.1,442,0.665191
92.1,442,0.664825
93.1,442,0.66446
94.1,443,0.664096
95.1,577,0.663732
96.1,577,0.663368
97.1,578,0.663005
98.1,578,0.662642
99.1,614,0.662279
100.1,615,0.661917
101.1,616,0.661555
102.1,620,0.661193
103.1,620,0.660832
104.1,621,0.660471
105.1,622,0.660111
106.1,622,0.659751
107.1,623,0.659391
108.1,623,0.659032
109.1,623,0.658673
110.1,624,0.658314
111.1,624,0.657955
112.1,571,0.657598
113.1,571,0.65724
114.1,571,0.656883
115.1,572,0.656526
116.1,518,0.656169
117.1,520,0.655813
